date,nav_usd,cash_usd,gross_exposure_usd,net_exposure_usd,realized_pnl_usd,unrealized_pnl_usd,daily_return_pct,since_inception_return_pct,drawdown_pct,overlay_as_of_utc
2026-03-25,100000.0,36000.0,64000.0,64000.0,0.0,0.0,0.0,0.0,0.0,2026-03-25T12:08:31Z
2026-03-25,99947.37,35981.05,63966.32,63966.32,-0.0,-52.63,-0.0,-0.0526,-0.0526,2026-03-25T12:21:52Z
2026-03-25,99788.68,35923.93,63864.77,63864.77,-0.02,-211.28,-0.0,-0.2113,-0.2113,2026-03-25T19:18:21Z
2026-03-25,99791.54,35924.99,63866.62,63866.62,-0.06,-208.33,-0.0,-0.2085,-0.2113,2026-03-25T22:08:27Z
2026-03-25,99791.74,35925.1,63866.73,63866.73,-0.09,-208.08,-0.0,-0.2083,-0.2113,2026-03-25T23:34:00Z
2026-03-25,99782.64,35921.84,63860.89,63860.89,-0.09,-217.18,0.0,-0.2174,-0.2174,2026-03-25T23:46:50Z
2026-03-25,99785.42,35922.85,63862.68,63862.68,-0.1,-214.38,-0.0,-0.2146,-0.2174,2026-03-25T23:50:51Z
2026-03-26,99765.98,35915.86,63850.23,63850.23,-0.11,-233.79,-0.0,-0.234,-0.234,2026-03-26T00:46:04Z
2026-03-26,99673.93,35882.73,63791.32,63791.32,-0.13,-325.81,-0.0,-0.3261,-0.3261,2026-03-26T11:33:57Z
2026-03-26,99518.16,35826.69,63691.66,63691.66,-0.19,-481.46,-0.0001,-0.4818,-0.4818,2026-03-26T19:25:44Z
2026-03-26,99472.94,35810.46,63662.7,63662.7,-0.22,-526.63,-0.0,-0.5271,-0.5271,2026-03-26T20:13:51Z
2026-03-26,99556.26,35840.57,63716.19,63716.19,-0.5,-442.74,-0.0003,-0.4437,-0.5271,2026-03-26T23:05:58Z
2026-03-26,99551.58,35839.08,63713.02,63713.02,-0.52,-447.38,-0.0,-0.4484,-0.5271,2026-03-26T23:32:25Z
2026-03-26,99559.41,35841.92,63718.04,63718.04,-0.55,-439.49,-0.0,-0.4406,-0.5271,2026-03-26T23:42:52Z
2026-03-28,99257.64,35733.34,63524.95,63524.95,-0.65,-741.07,-0.0001,-0.7424,-0.7424,2026-03-28T08:58:02Z
2026-03-28,99276.67,35740.3,63537.16,63537.16,-0.8,-721.74,-0.0002,-0.7233,-0.7424,2026-03-28T22:33:56Z
2026-03-28,99273.4,35739.23,63534.98,63534.98,-0.81,-724.98,-0.0,-0.7266,-0.7424,2026-03-28T22:45:34Z
2026-03-29,99270.83,35739.23,63531.6,63531.6,-0.81,-728.36,-0.0026,-0.7292,-0.7424,2026-03-29T00:25:31Z
